Coffee_Name,State_Name,Price
CAPPUCCINO,ACT,4.03
CAPPUCCINO,NSW,4
CAPPUCCINO,NT,4.97
CAPPUCCINO,QLD,4.33
CAPPUCCINO,SA,4.25
CAPPUCCINO,TAS,4.27
CAPPUCCINO,VIC,4.04
CAPPUCCINO,WA,4.53
CHAI,ACT,4.19
CHAI,NSW,4.21
CHAI,NT,5.01
CHAI,QLD,4.54
CHAI,SA,4.25
CHAI,TAS,4.29
CHAI,VIC,4.46
CHAI,WA,4.22
FLAT WHITE,ACT,4.09
FLAT WHITE,NSW,3.92
FLAT WHITE,NT,4.8
FLAT WHITE,QLD,4.32
FLAT WHITE,SA,4.11
FLAT WHITE,TAS,4.23
FLAT WHITE,VIC,3.99
FLAT WHITE,WA,4.33
HOT CHOCOLATE,ACT,4.09
HOT CHOCOLATE,NSW,4.11
HOT CHOCOLATE,NT,3.79
HOT CHOCOLATE,QLD,4.36
HOT CHOCOLATE,SA,4.24
HOT CHOCOLATE,TAS,4.32
HOT CHOCOLATE,VIC,4.05
HOT CHOCOLATE,WA,4.46
ICE COFFEE,ACT,5.88
ICE COFFEE,NSW,5.84
ICE COFFEE,NT,5.25
ICE COFFEE,QLD,5.27
ICE COFFEE,SA,5.37
ICE COFFEE,TAS,5.76
ICE COFFEE,VIC,5.25
ICE COFFEE,WA,5.83
LATTE,ACT,4.14
LATTE,NSW,3.98
LATTE,NT,4.88
LATTE,QLD,4.48
LATTE,SA,4.04
LATTE,TAS,4.23
LATTE,VIC,4.09
LATTE,WA,4.47
LONG BLACK,ACT,3.9
LONG BLACK,NSW,3.75
LONG BLACK,NT,3.94
LONG BLACK,QLD,4
LONG BLACK,SA,3.95
LONG BLACK,TAS,3.88
LONG BLACK,VIC,3.81
LONG BLACK,WA,4.02
MOCHA,ACT,4.4
MOCHA,NSW,4.15
MOCHA,NT,5.04
MOCHA,QLD,4.76
MOCHA,SA,4.55
MOCHA,TAS,4.73
MOCHA,VIC,4.15
MOCHA,WA,4.57
